tree,depth,RMSE
23,27,0.00953
24,27,0.009241
25,27,0.009496
26,27,0.009505
27,27,0.009428
28,27,0.009192
29,27,0.009036
30,27,0.009607
31,27,0.009273
32,27,0.009554
33,27,0.009404
34,27,0.009249
35,27,0.009357
36,27,0.009459
37,27,0.009201
38,27,0.009108
39,27,0.009359
40,27,0.009255
20,28,0.009542
21,28,0.009627
22,28,0.009151
23,28,0.008952
24,28,0.008703
25,28,0.009478
26,28,0.009027
27,28,0.009567
28,28,0.009212
29,28,0.009496
30,28,0.009194
31,28,0.009084
32,28,0.009172
33,28,0.009409
34,28,0.008924
35,28,0.009466
36,28,0.009291
37,28,0.00939
38,28,0.009188
39,28,0.009442
40,28,0.009134
20,29,0.009133
21,29,0.009636
22,29,0.009501
23,29,0.009087
24,29,0.009237
25,29,0.009109
26,29,0.009452
27,29,0.008956
28,29,0.009353
29,29,0.009216
30,29,0.009352
31,29,0.009302
32,29,0.009502
33,29,0.009166
34,29,0.009667
35,29,0.009518
36,29,0.009113
37,29,0.00934
38,29,0.009068
39,29,0.009065
40,29,0.00955
20,30,0.009358
21,30,0.009189
22,30,0.009597
23,30,0.009174
24,30,0.00933
25,30,0.009166
26,30,0.009161
27,30,0.00908
28,30,0.009036
29,30,0.009309
30,30,0.009511
31,30,0.009073
32,30,0.009655
33,30,0.009625
34,30,0.009357
35,30,0.008862
36,30,0.009109
37,30,0.009072
38,30,0.009418
39,30,0.009404
40,30,0.009259
20,31,0.009162
21,31,0.009171
22,31,0.009256
23,31,0.009677
24,31,0.009154
25,31,0.009458
26,31,0.009207
27,31,0.009118
28,31,0.009589
29,31,0.009271
30,31,0.009569
31,31,0.009388
32,31,0.009086
33,31,0.009102
34,31,0.009403
35,31,0.009087
36,31,0.009412
37,31,0.009347
38,31,0.009253
39,31,0.009066
40,31,0.009439
20,32,0.009384
21,32,0.009193
22,32,0.009446
23,32,0.008927
24,32,0.009484
25,32,0.009119
26,32,0.009072
27,32,0.009062
28,32,0.009368
29,32,0.009274
30,32,0.009178
31,32,0.009162
32,32,0.009268
33,32,0.009551
34,32,0.009113
35,32,0.009472
36,32,0.00925
37,32,0.009026
38,32,0.009204
39,32,0.009196
40,32,0.008771
20,33,0.009436
21,33,0.009908
22,33,0.009552
23,33,0.009633
24,33,0.009649
25,33,0.009328
26,33,0.009087
27,33,0.009537
28,33,0.009396
29,33,0.009298
30,33,0.009236
31,33,0.009086
32,33,0.009267
33,33,0.009006
34,33,0.008997
35,33,0.00947
36,33,0.009387
37,33,0.00899
38,33,0.009082
39,33,0.009182
40,33,0.009125
20,34,0.009246
21,34,0.009014
22,34,0.008983
23,34,0.009391
24,34,0.009114
25,34,0.00942
26,34,0.009108
27,34,0.009406
28,34,0.009243
29,34,0.009201
30,34,0.008976
31,34,0.009322
32,34,0.008985
33,34,0.009197
34,34,0.009375
35,34,0.009259
36,34,0.00891
37,34,0.009245
38,34,0.009122
39,34,0.00932
40,34,0.009323
20,35,0.009523
21,35,0.009578
22,35,0.009086
23,35,0.009126
24,35,0.009237
25,35,0.009262
26,35,0.009368
27,35,0.009575
28,35,0.009171
29,35,0.009338
30,35,0.009604
31,35,0.009346
32,35,0.009161
33,35,0.009375
34,35,0.009521
35,35,0.009163
36,35,0.009483
37,35,0.009351
38,35,0.009431
39,35,0.009373
40,35,0.009133
20,36,0.009443
21,36,0.009223
22,36,0.009451
23,36,0.009399
24,36,0.008916
25,36,0.009178
26,36,0.009049
27,36,0.009447
28,36,0.009205
29,36,0.010084
30,36,0.009276
31,36,0.009139
32,36,0.009405
33,36,0.009229
34,36,0.008975
35,36,0.009182
36,36,0.009579
37,36,0.009058
38,36,0.009145
39,36,0.00942
40,36,0.00927
20,37,0.009563
21,37,0.009008
22,37,0.009201
23,37,0.009716
24,37,0.009124
25,37,0.009121
26,37,0.009314
27,37,0.008947
28,37,0.009196
29,37,0.009434
30,37,0.009373
31,37,0.009361
32,37,0.009518
33,37,0.009413
34,37,0.0094
35,37,0.009305
36,37,0.008863
37,37,0.009254
38,37,0.008998
39,37,0.009358
40,37,0.00899
20,38,0.009516
21,38,0.009371
22,38,0.008948
23,38,0.009055
24,38,0.009334
25,38,0.009523
26,38,0.009404
27,38,0.009537
28,38,0.009211
29,38,0.008889
30,38,0.008949
31,38,0.009281
32,38,0.009253
33,38,0.009308
34,38,0.009061
35,38,0.009528
36,38,0.009462
37,38,0.00926
38,38,0.009302
39,38,0.009374
40,38,0.008995
20,39,0.009317
21,39,0.009676
22,39,0.009068
23,39,0.009562
24,39,0.009536
25,39,0.009076
26,39,0.009708
27,39,0.009397
28,39,0.009666
29,39,0.009413
30,39,0.009335
31,39,0.009432
32,39,0.009179
33,39,0.009292
34,39,0.009417
35,39,0.009517
36,39,0.009116
37,39,0.009448
38,39,0.009109
39,39,0.009284
40,39,0.009302
20,40,0.009391
21,40,0.009331
22,40,0.009269
23,40,0.009607
24,40,0.009057
25,40,0.009604
26,40,0.009054
27,40,0.009417
28,40,0.00945
29,40,0.009291
30,40,0.009168
31,40,0.009065
32,40,0.009141
33,40,0.009415
34,40,0.009603
35,40,0.009067
36,40,0.008991
37,40,0.009145
38,40,0.008886
39,40,0.009214
40,40,0.009432
20,41,0.009348
21,41,0.009131
22,41,0.009198
23,41,0.009318
24,41,0.009317
25,41,0.009554
26,41,0.009424
27,41,0.009185
28,41,0.009145
29,41,0.009513
30,41,0.009167
31,41,0.009278
32,41,0.008809
33,41,0.009438
34,41,0.009116
35,41,0.009373
36,41,0.009189
37,41,0.009299
38,41,0.009441
39,41,0.009367
40,41,0.00923
20,42,0.00944
21,42,0.009623
22,42,0.009567
23,42,0.009326
24,42,0.009089
25,42,0.009193
26,42,0.009205
27,42,0.009422
28,42,0.009387
29,42,0.009251
30,42,0.009104
31,42,0.009134
32,42,0.009088
33,42,0.009457
34,42,0.009167
35,42,0.009362
36,42,0.009049
37,42,0.009339
38,42,0.009568
39,42,0.009306
40,42,0.009382
20,43,0.009274
21,43,0.00948
22,43,0.009625
23,43,0.009151
24,43,0.009625
25,43,0.009295
26,43,0.009887
27,43,0.009203
28,43,0.009434
29,43,0.009002
30,43,0.009196
31,43,0.009304
32,43,0.009109
33,43,0.009315
34,43,0.009364
35,43,0.009363
36,43,0.009281
37,43,0.009256
38,43,0.009116
39,43,0.009095
40,43,0.008935
20,44,0.009521
21,44,0.009157
22,44,0.009174
23,44,0.008988
24,44,0.009598
25,44,0.00919
26,44,0.009612
27,44,0.009222
28,44,0.009287
29,44,0.009558
30,44,0.009245
31,44,0.009366
32,44,0.009081
33,44,0.009266
34,44,0.009311
35,44,0.009167
36,44,0.009401
37,44,0.009315
38,44,0.009444
39,44,0.009297
40,44,0.00917
20,45,0.009866
21,45,0.009341
22,45,0.008886
23,45,0.009748
24,45,0.009759
25,45,0.009386
26,45,0.009023
27,45,0.009518
28,45,0.009353
29,45,0.009075
30,45,0.0094
31,45,0.009545
32,45,0.009253
33,45,0.009283
34,45,0.008839
35,45,0.00914
36,45,0.009352
37,45,0.008928
38,45,0.009214
39,45,0.009218
40,45,0.009047
20,46,0.009474
21,46,0.009667
22,46,0.00949
23,46,0.009236
24,46,0.009169
25,46,0.009332
26,46,0.009522
27,46,0.009013
28,46,0.009214
29,46,0.009646
30,46,0.009252
31,46,0.009244
32,46,0.00955
33,46,0.009469
34,46,0.009385
35,46,0.008975
36,46,0.009518
37,46,0.009497
38,46,0.009246
39,46,0.009033
40,46,0.009088
20,47,0.009564
21,47,0.009978
22,47,0.00909
23,47,0.009238
24,47,0.009437
25,47,0.009437
26,47,0.009176
27,47,0.009543
28,47,0.009636
29,47,0.009081
30,47,0.008861
31,47,0.009297
32,47,0.009221
33,47,0.009385
34,47,0.009
35,47,0.008986
36,47,0.009094
37,47,0.009164
38,47,0.00937
39,47,0.009078
40,47,0.009609
20,48,0.009718
21,48,0.00937
22,48,0.009171
23,48,0.009284
24,48,0.009549
25,48,0.009248
26,48,0.009357
27,48,0.009316
28,48,0.009377
29,48,0.009344
30,48,0.009325
31,48,0.009098
32,48,0.009714
33,48,0.009442
34,48,0.009331
35,48,0.009496
36,48,0.009179
37,48,0.009269
38,48,0.009279
39,48,0.009185
40,48,0.009225
20,49,0.009357
21,49,0.009262
22,49,0.009269
23,49,0.009269
24,49,0.009666
25,49,0.00926
26,49,0.009196
27,49,0.009277
28,49,0.009552
29,49,0.009133
30,49,0.009169
31,49,0.009142
32,49,0.009565
33,49,0.008939
34,49,0.00947
35,49,0.009194
36,49,0.009233
37,49,0.009
38,49,0.009169
39,49,0.009207
40,49,0.009371
20,50,0.009972
21,50,0.009508
22,50,0.009489
23,50,0.009508
24,50,0.009268
25,50,0.009171
26,50,0.009671
27,50,0.008759
28,50,0.009401
29,50,0.009245
30,50,0.009448
31,50,0.009103
32,50,0.009391
33,50,0.009088
34,50,0.009109
35,50,0.009275
36,50,0.00953
37,50,0.009104
38,50,0.009371
39,50,0.009267
40,50,0.009129
20,51,0.009473
21,51,0.009896
22,51,0.009435
23,51,0.009563
24,51,0.009329
25,51,0.009357
26,51,0.009265
27,51,0.009261
28,51,0.009369
29,51,0.009277
30,51,0.009359
31,51,0.00889
32,51,0.009663
33,51,0.009306
34,51,0.009277
35,51,0.009263
36,51,0.009362
37,51,0.009173
38,51,0.009439
39,51,0.009375
40,51,0.008929
